variavel,dia,total_minutos_esperados,minutos_com_dado,minutos_sem_dado,percentual_conectado,percentual_desconectado,quantidade_desconexoes_gt_20min,menor_desconexao_min,maior_desconexao_min,media_desconexao_min,tempo_total_desconectado_min,desconexoes_no_periodo_critico_20h_08h
balcao_resfriado_1_calibrado,26/03/2026,1440,1422,18,98.75,1.25,0,0,0,0,0,0
balcao_resfriado_1_calibrado,27/03/2026,1440,1439,1,99.93,0.07,0,0,0,0,0,0
balcao_resfriado_1_calibrado,28/03/2026,1440,1430,10,99.31,0.69,0,0,0,0,0,0
balcao_resfriado_1_calibrado,29/03/2026,1440,1440,0,100.0,0.0,0,0,0,0,0,0
