variavel,inicio_periodo,fim_periodo,total_minutos_esperados,minutos_com_dado,minutos_sem_dado,percentual_conectado,percentual_desconectado,quantidade_desconexoes_gt_20min,menor_desconexao_min,maior_desconexao_min,media_desconexao_min,tempo_total_desconectado_min,desconexoes_no_periodo_critico_20h_08h
balcao_resfriado_1_calibrado,20/08/2025 00:00,31/08/2025 23:55,3456,1497,1959,43.32,56.68,28,5.0,229.0,55.32,1549.0,18
balcao_resfriado_2,20/08/2025 00:00,31/08/2025 23:55,3456,2920,536,84.49,15.51,26,5.0,27.0,9.88,257.0,21
balcao_congelado_calibrado,20/08/2025 00:00,31/08/2025 23:55,3456,1890,1566,54.69,45.31,63,5.0,198.0,19.86,1251.0,18
balcao_congelado,20/08/2025 00:00,31/08/2025 23:55,3456,1982,1474,57.35,42.65,45,5.0,236.0,26.6,1197.0,12
ambiente_loja,20/08/2025 00:00,31/08/2025 23:55,3456,3456,0,100.0,0.0,0,0.0,0.0,0.0,0.0,0
