timestamp,valor,datahora
1755399603202,23.9,17/08/2025 00:00
1755399613180,23.9,17/08/2025 00:00
1755399623215,23.9,17/08/2025 00:00
1755399633175,23.9,17/08/2025 00:00
1755399643158,24.0,17/08/2025 00:00
1755399654721,24.0,17/08/2025 00:00
1755399663172,23.9,17/08/2025 00:01
1755399673163,23.9,17/08/2025 00:01
1755399693146,24.0,17/08/2025 00:01
1755400534830,24.0,17/08/2025 00:15
1755400536042,24.0,17/08/2025 00:15
1755400536444,24.0,17/08/2025 00:15
1755400538490,23.9,17/08/2025 00:15
1755400538865,24.0,17/08/2025 00:15
1755400539232,24.0,17/08/2025 00:15
1755400539603,24.0,17/08/2025 00:15
1755400540837,24.0,17/08/2025 00:15
1755400541212,23.9,17/08/2025 00:15
1755400541566,23.8,17/08/2025 00:15
1755400542179,24.0,17/08/2025 00:15
1755400542527,24.0,17/08/2025 00:15
1755400606016,23.8,17/08/2025 00:16
1755400606207,23.9,17/08/2025 00:16
1755400606397,24.0,17/08/2025 00:16
1755400607117,24.0,17/08/2025 00:16
1755400607299,23.9,17/08/2025 00:16
1755400613260,23.9,17/08/2025 00:16
1755400623287,23.9,17/08/2025 00:17
1755400633270,23.8,17/08/2025 00:17
1755400653277,23.9,17/08/2025 00:17
1755400663271,23.9,17/08/2025 00:17
1755400673265,23.9,17/08/2025 00:17
1755400693263,23.9,17/08/2025 00:18
1755400703263,23.8,17/08/2025 00:18
1755400723267,23.9,17/08/2025 00:18
1755400733266,23.9,17/08/2025 00:18
1755400753266,23.9,17/08/2025 00:19
1755400763265,23.8,17/08/2025 00:19
1755400773264,23.8,17/08/2025 00:19
1755400783271,23.8,17/08/2025 00:19
1755400793273,23.9,17/08/2025 00:19
1755400803274,23.9,17/08/2025 00:20
1755400813281,23.9,17/08/2025 00:20
1755400823299,23.9,17/08/2025 00:20
1755400843264,23.9,17/08/2025 00:20
1755400853286,23.8,17/08/2025 00:20
1755400863269,23.8,17/08/2025 00:21
1755400873278,23.8,17/08/2025 00:21
1755400883282,23.9,17/08/2025 00:21
1755400893263,23.8,17/08/2025 00:21
1755400904699,23.7,17/08/2025 00:21
1755400913284,23.9,17/08/2025 00:21
1755400933303,23.9,17/08/2025 00:22
1755400943266,23.9,17/08/2025 00:22
1755400953268,23.8,17/08/2025 00:22
1755400963261,23.8,17/08/2025 00:22
1755400973415,23.8,17/08/2025 00:22
1755400983273,23.7,17/08/2025 00:23
1755400993292,23.9,17/08/2025 00:23
1755401003276,23.8,17/08/2025 00:23
1755401023272,23.8,17/08/2025 00:23
1755401033269,23.8,17/08/2025 00:23
1755401043781,23.8,17/08/2025 00:24
