variavel,inicio_periodo,fim_periodo,total_minutos_esperados,minutos_com_dado,minutos_sem_dado,percentual_conectado,percentual_desconectado,quantidade_desconexoes_gt_20min,menor_desconexao_min,maior_desconexao_min,media_desconexao_min,tempo_total_desconectado_min,desconexoes_no_periodo_critico_20h_08h
balcao_resfriado_1_calibrado,26/03/2026 00:00,29/03/2026 23:59,5760,5731,29,99.5,0.5,0,0.0,0.0,0.0,0.0,0
balcao_resfriado_2,26/03/2026 00:00,29/03/2026 23:59,5760,5743,17,99.7,0.3,0,0.0,0.0,0.0,0.0,0
balcao_congelado_calibrado,26/03/2026 00:00,29/03/2026 23:59,5760,3729,2031,64.74,35.26,11,22.0,289.0,162.0,1782.0,5
balcao_congelado,26/03/2026 00:00,29/03/2026 23:59,5760,5744,16,99.72,0.28,0,0.0,0.0,0.0,0.0,0
ambiente_loja,26/03/2026 00:00,29/03/2026 23:59,5760,5741,19,99.67,0.33,0,0.0,0.0,0.0,0.0,0
